"","iso_a3","name_en","cadc.type","usd.comm.ctry.cadc","usd.disb.ctry.cadc","tot.usd.comm.ctry","tot.usd.disb.ctry","perc.cumsum.comm","perc.cumsum.disb"
"237","NAM","Namibia","equity CADC",28.38,11.5,54.68,34.54,0.981340911923083,0.968197531511245
"238","NAM","Namibia","other CADC",22.19,16.33,54.68,34.54,0.981340911923083,0.968197531511245
"239","NAM","Namibia","other ocean economy",4.11,6.71,54.68,34.54,0.981340911923083,0.968197531511245
"240","PLW","Palau","equity CADC",7.32,7.36,54.18,48.43,0.982511046410799,0.969708399119872
"241","PLW","Palau","other CADC",29.02,23.16,54.18,48.43,0.982511046410799,0.969708399119872
"242","PLW","Palau","other ocean economy",17.84,17.91,54.18,48.43,0.982511046410799,0.969708399119872
"243","UKR","Ukraine","equity CADC",9.11,8.01,52.95,63.44,0.983654616383567,0.971687532737285
"244","UKR","Ukraine","other CADC",40,50.69,52.95,63.44,0.983654616383567,0.971687532737285
"245","UKR","Ukraine","other ocean economy",3.84,4.74,52.95,63.44,0.983654616383567,0.971687532737285
"246","SLV","El Salvador","equity CADC",14.34,15.26,51.29,115.65,0.984762335059739,0.97529545838126
"247","SLV","El Salvador","other CADC",28.48,23.52,51.29,115.65,0.984762335059739,0.97529545838126
"248","SLV","El Salvador","other ocean economy",8.47,76.87,51.29,115.65,0.984762335059739,0.97529545838126
"249","JAM","Jamaica","equity CADC",15.68,11.77,50.78,40.29,0.985859039180932,0.976552382931158
"250","JAM","Jamaica","other CADC",24.22,16.58,50.78,40.29,0.985859039180932,0.976552382931158
"251","JAM","Jamaica","other ocean economy",10.88,11.94,50.78,40.29,0.985859039180932,0.976552382931158
"252","COK","Cook Islands","equity CADC",0.9,2.54,47.87,52.59,0.986892895547247,0.978193029793386
"253","COK","Cook Islands","other CADC",34.19,30.45,47.87,52.59,0.986892895547247,0.978193029793386
"254","COK","Cook Islands","other ocean economy",12.78,19.6,47.87,52.59,0.986892895547247,0.978193029793386
"255","GUY","Guyana","equity CADC",40.36,36.63,47.64,80.3,0.987921784565239,0.980698143751113
"256","GUY","Guyana","other CADC",5.37,41,47.64,80.3,0.987921784565239,0.980698143751113
"257","GUY","Guyana","other ocean economy",1.91,2.67,47.64,80.3,0.987921784565239,0.980698143751113
"258","DOM","Dominican Republic","equity CADC",15.82,10.47,47.31,43.7,0.988943546518245,0.982061449852641
"259","DOM","Dominican Republic","other CADC",22.1,28.88,47.31,43.7,0.988943546518245,0.982061449852641
"260","DOM","Dominican Republic","other ocean economy",9.39,4.35,47.31,43.7,0.988943546518245,0.982061449852641
"261","GNB","Guinea-Bissau","equity CADC",3.46,2.65,41.7,25.71,0.989844148366487,0.982863523076218
"262","GNB","Guinea-Bissau","other CADC",26.15,13.08,41.7,25.71,0.989844148366487,0.982863523076218
"263","GNB","Guinea-Bissau","other ocean economy",12.09,9.98,41.7,25.71,0.989844148366487,0.982863523076218
"264","STP","São Tomé and Príncipe","equity CADC",10.35,5.55,41.68,31.58,0.990744318271397,0.983848722313889
"265","STP","São Tomé and Príncipe","other CADC",19.35,10.45,41.68,31.58,0.990744318271397,0.983848722313889
"266","STP","São Tomé and Príncipe","other ocean economy",11.98,15.58,41.68,31.58,0.990744318271397,0.983848722313889
